id,language,context,target,max_width
54,French,"On parle aussi de liberté d'expression, de liberté de penser et du droit à un procès équitable. Dans certains pays, des minorités ne reçoivent pas les mêmes chances et les lois ne sont pas justes. Les pays travaillent avec",les organisations internationales pour améliorer les lois et la justice.,660
55,English,"We also talk about freedom of expression, freedom of thought, and the right to a fair trial. In some countries, minorities do not receive the same chances and laws are not fair. Countries",work with international organizations to improve laws and justice.,646
56,French,"Nous espérons un monde plus juste, où chacun peut vivre sans peur et avec dignité. Je pense que chaque voix compte. Quand les","gens parlent, les lois peuvent changer.",375
57,English,"We hope for a fairer world, where everyone can live without fear and with dignity. I think every voice counts.","When people speak, laws can change.",373
58,French,"Les écoles apprennent la dignité et le respect des autres. Le travail juste et les salaires suffisants sont importants aussi. Parfois il y a des défis,",mais les gens restent calmes et travailleurs.,424
59,English,"Schools teach dignity and respect for others. Fair work and sufficient wages are also important. Sometimes there are challenges, but",people stay calm and hardworking.,348
60,French,"Les familles apprennent à vivre ensemble malgré les différences. Nous voulons un avenir où les enfants grandissent sans peur. Ainsi,",chaque geste de solidarité compte.,340
61,English,"Families learn to live together despite differences. We want a future where children grow up without fear. Thus,",every gesture of solidarity counts.,336
62,French,"Le 12 mars 2014, on parle beaucoup de cybersécurité. Les menaces viennent surtout des ordinateurs et des réseaux. Les virus et les logiciels malveillants se propagent par email, par des liens sur Internet, ou par des pièces jointes dangereuses. Les pirates cherchent",des mots de passe faibles et des failles dans les sites.,515
63,English,"On March 12, 2014, there is a lot of talk about cybersecurity. Threats come mainly from computers and networks. Viruses and malware spread by email, by links on the Internet, or by dangerous attachments.",Hackers look for weak passwords and flaws in sites.,512
64,French,"Une menace importante est le phishing: des messages qui imitent une banque ou un fournisseur. En cliquant sur un lien, on peut donner ses identifiants ou installer un logiciel sans le savoir. Les rançongiciels existent aussi: ils",bloquent les données et demandent de l’argent pour les récupérer.,640
65,English,"An important threat is phishing: messages that imitate a bank or a provider. By clicking on a link, you can give your credentials or install software without knowing it. Ransomware also exists:",they block data and demand money to recover it.,479
66,French,"On voit des cas déjà en 2013 et 2014. Pour se protéger, il faut mettre à jour son système et ses logiciels. Il faut aussi installer un antivirus et un","pare-feu, et activer les mises à jour automatiques.",486
67,English,"We see cases already in 2013 and 2014. To protect yourself, you must update your system and software. You should also install antivirus and","a firewall, and enable automatic updates.",403
68,French,"Les mots de passe forts et différents pour chaque compte aident beaucoup. Il faut se méfier des pièces jointes et des liens provenant de messages inconnus. Les entreprises déploient des pare-feu,",des systèmes de détection et des sauvegardes régulières.,549
69,English,Strong and different passwords for each account help a lot. Be careful with attachments and links from unknown messages. Companies deploy,"firewalls, detection systems, and regular backups.",487
70,French,Elles prévoient des plans d’incident et des formations pour les employés. Les autorités et les organisations privées partagent les informations sur les attaques et les failles. La,coopération est essentielle pour réduire les dégâts.,492
71,English,They plan incident response and training for employees. Authorities and private organizations share information about attacks and vulnerabilities. Cooperation,is essential to reduce damage.,296
72,French,"Les entreprises savent aussi qu’il faut protéger les données des clients. Aujourd’hui, les gens utilisent souvent le Wi-Fi public pour se connecter, mais ce n’est pas sûr pour des informations privées. Il faut éviter",les transactions financières sur des réseaux publics sans sécurité.,631
73,English,"Companies also know that they must protect customers’ data. Today, people often use public Wi‑Fi to connect, but it is not safe for private information. One should",avoid financial transactions on insecure public networks.,556
74,French,"On recommande des sauvegardes régulières sur des disques externes et dans le nuage. Les autorités publiques publient des guides et des avertissements sur les attaques. En 2014, les lois sur la",sécurité numérique deviennent plus claires dans certains pays.,606
75,English,"We recommend regular backups on external disks and in the cloud. Public authorities publish guides and warnings about attacks. In 2014, laws on digital",security become clearer in some countries.,419
76,French,"Les parents et les enseignants enseignent les bonnes habitudes à leurs enfants. Pour la maison, il faut éteindre l’ordinateur lorsque personne n’est là et ne pas laisser l’appareil sans surveillance. La vigilance et la formation continuent",d’être essentielles pour protéger les données et la vie privée.,589
77,English,"Parents and teachers teach good habits to their children. At home, you should turn off the computer when no one is there and not leave the device unattended. Vigilance and",training remain essential to protect data and privacy.,512
78,French,"Aujourd'hui, le 09.03.2004, le monde du sport est en mouvement. Dans l'industrie, les entreprises mettent beaucoup d'argent dans la télévision, la publicité et les sponsors. Les droits de diffusion deviennent plus chers et les clubs veulent plus d'argent pour les matches. Des grandes marques comme Nike, Adidas et Coca‑Cola signent",des accords pour les Jeux Olympiques qui auront lieu à Athènes cet été.,697
79,English,"Today, on 09.03.2004, the world of sport is in motion. In the industry, companies put a lot of money into television, advertising, and sponsorships. Broadcasting rights are becoming more expensive, and clubs want more money for matches. Big brands like Nike, Adidas, and Coca-Cola sign",deals for the Olympic Games to be held in Athens this summer.,618
80,French,"La passion des supporters est forte après les performances des athlètes, et les journalistes parlent aussi de l'avenir. En football, les clubs préparent la prochaine saison et cherchent de jeunes talents dans les écoles et les clubs sportifs. En basket et en tennis,",les joueurs célèbres gagnent de gros prix et attirent le public.,593
81,English,"The fans' passion is strong after the athletes' performances, and journalists also talk about the future. In football, clubs prepare the next season and look for young talent in schools and sports clubs. In basketball and","tennis, famous players win big prizes and attract the public.",581
82,French,"Dans les pays européens, les stades se remplissent parfois et la sécurité et l'accueil des spectateurs sont discutés. Pour les médias, la diffusion en direct est très importante; les journalistes donnent les résultats en temps réel à la radio et à la télévision, et aussi sur Internet qui devient de plus en plus utilisé. Les entreprises",veulent aussi montrer les sports féminins et encourager les jeunes à pratiquer une activité physique.,964
83,English,"In European countries, stadiums fill up sometimes and safety and welcoming spectators are discussed. For the media, live broadcasting is very important; journalists give results in real time on radio and television, and also on the Internet which is becoming more used. Companies also want",to show women's sports and encourage young people to practice physical activity.,795
84,French,"Certaines petites entreprises locales deviennent sponsors des clubs locaux, ce qui aide à financer les voyages et les équipements. Les fédérations sportives travaillent sur des programmes pour l'éducation et la santé des jeunes, afin que le sport reste un choix facile et positif pour tous. En résumé, l'industrie du sport cherche plus d'argent, plus de visibilité et plus de participation, et tout",le monde espère que les Jeux d'Athènes et les compétitions prochaines apportent des avantages pour l'avenir.,1053
85,English,"Some small local companies become sponsors of local clubs, which helps finance trips and equipment. Sports federations work on programs for education and health of young people, so sport stays an easy and positive choice for everyone. In short, the sport industry seeks more money, more visibility, and more participation, and everyone",hopes that the Athens Games and upcoming competitions bring lasting benefits for the future.,909
86,French,"Le 19.05.1994, je lis dans un journal technique une idée nouvelle sur l’argent et les réseaux informatiques. On parle d’une monnaie qui existerait seulement sur les ordinateurs et qui ne passe pas par les banques. C’est assez fascinant et un peu étrange. On imagine que des personnes peuvent payer des biens ou des","services en utilisant cette monnaie électronique, sans écrire de chèque ni dépenser des billets.",905
87,English,"On 19.05.1994, I read in a technical journal a new idea about money and computer networks. They talk about a currency that would exist only on computers and would not go through banks. It is quite fascinating and a bit strange. One imagines that people can pay for","goods or services using this electronic money, without writing checks or spending notes.",859
88,French,"Les responsables disent que ce système serait sûr s’il existe un registre commun et secret. Chaque paiement serait enregistré dans ce registre et il serait difficile de le modifier. Le registre serait partagé par plusieurs ordinateurs dans le monde, pour que tout le monde puisse vérifier les paiements.",Certains disent que cela peut éviter les frais et les retards des banques.,684
89,English,"Officials say that this system would be safe if there exists a common and secret register. Each payment would be recorded in this register and it would be hard to modify it. The register would be shared by several computers around the world, so that everyone can verify",the payments. Some say this could avoid fees and delays from banks.,675
90,French,"Les chercheurs parlent de mots techniques comme cryptographie, sécurité et réseaux. Ils se demandent comment empêcher les doubles paiements, c’est-à-dire payer deux fois le",même argent. C’est un grand défi.,337
91,English,"Researchers talk about technical words like cryptography, security, and networks. They wonder how to prevent double payments, that is, paying the same money",twice. It is a big challenge.,268
92,French,"D’autres questions apparaissent: qui fixe le cours de cette monnaie électronique, qui contrôle le système, et comment faire évoluer le réseau sans trop de frais? Quelques personnes évoquent aussi une idée appelée « chaîne » ou « chaîne de blocs ». Dans cette idée,",les paiements forment une suite et chaque paiement est relié au précédent.,721
93,English,"Other questions arise: who fixes the value of this electronic money, who controls the system, and how to make the network evolve without too many costs? Some people also mention an idea called “chain” or “chain of blocks.” In this idea, payments form a sequence and each payment is linked to",the previous one. This chain could serve as a common register for everyone.,741
94,French,"Cette chaîne pourrait servir de registre commun pour tout le monde. C’est très nouveau et il faut du temps pour tester tout cela. Malgré les difficultés, les journaux",pensent que l’idée ne va pas disparaître.,394
95,English,"It is very new and it will take time to test all this. Despite the difficulties, newspapers think the idea will not disappear. Even if all this seems far away, it is possible that, in ten or twenty years, small",businesses and individuals will use this money on the Internet.,611
96,French,"Le 10.04.2001, j’écris quelques mots sur les télécommunications et l’expansion des réseaux mobiles. Dans les villes et dans les campagnes, les téléphones portables deviennent plus répandus et utiles. Les gens veulent être connectés partout: à la maison, au travail, sur le chemin, dans les transports. Les opérateurs travaillent","pour que les réseaux soient plus simples, plus rapides et plus fiables.",669
97,English,"On 10.04.2001, I am writing a few words about telecommunications and the expansion of mobile networks. In cities and in the countryside, mobile phones are becoming more widespread and useful. People want to be connected everywhere: at home, at work, on the way, in","transit. Operators are working to make networks simpler, faster and more reliable.",797
98,French,"Pour l’avenir, on parle déjà de la 5G, la prochaine génération de réseaux mobiles. En 2001, beaucoup disent que la 5G pourrait arriver dans les années 2010 ou un peu après. Elle promet des vitesses plus élevées, un petit retard et la possibilité de connecter beaucoup d’appareils, comme","les téléphones, les ordinateurs portables et même des capteurs dans les villes.",751
99,English,"Web services take their place in daily life. For the future, people already talk about 5G, the next generation of mobile networks. In 2001, many say that 5G could",arrive in the 2010s or a little later.,335
100,French,"Bien sûr, cela prend du temps et de l’argent: il faut installer plus d’antennes, développer la fibre et trouver des solutions pour que tout marche ensemble sans trop de problèmes. Les autorités et les opérateurs veulent que les réseaux soient sûrs et faciles à utiliser, et qu’ils respectent la vie privée. L’expansion des réseaux téléphoniques et d’Internet peut aussi réduire","les coûts et donner de nouvelles chances pour l’éducation, le travail et la vie quotidienne.",866
101,English,"It promises higher speeds, a small delay and the possibility to connect many devices, such as phones, laptops and even sensors in cities. Of course, it takes time and money: more antennas must be installed, fiber must be developed and solutions must be found so that everything works together without too many problems. Authorities and operators","want networks to be safe and easy to use, and to respect users’ privacy.",690
102,French,"Dans les magasins et les gares, on voit déjà des services sans fil qui rendent les achats et les déplacements plus pratiques. Le chemin est long, mais en 2001 on peut croire que les technologies avancent et que, peut-être avant 2010, des essais de la 5G auront lieu dans quelques villes et pays. Si tout se passe bien, la 5G peut changer beaucoup","de choses pour les entreprises, les écoles et les familles, et rendre la vie plus connectée.",849
103,English,"The expansion of telephone networks and Internet can also reduce costs and give new opportunities for education, work and daily life. In stores and stations, you can already see wireless services that make shopping and travel more convenient. The road is long, but in 2001 one can believe that technologies are progressing and that, perhaps","before 2010, trials of 5G will take place in a few cities and countries.",674
104,French,"Le 8 juillet 2000, j'écris ces mots sur la réponse aux catastrophes et l'aide humanitaire. Quand une catastrophe frappe, les gens cherchent à sauver des vies. Les autorités, les secours et les organisations",humanitaires travaillent ensemble. Des équipes de secours arrivent rapidement.,770
105,English,"On 8 July 2000, I write these words about disaster response and humanitarian aid. When a disaster strikes, people try to save lives. Authorities, rescue services, and humanitarian",organizations work together. Rescue teams arrive quickly.,565
106,French,"Des médecins et des infirmières donnent des soins. Des bénévoles distribuent de l'eau potable et de la nourriture. On installe des refuges pour les familles sans maison. Dans les camps, on met","en place des toilettes, des lits et des couvertures.",474
107,English,"Doctors and nurses provide care. Volunteers distribute drinking water and food. Shelters are set up for families without housing. In the camps,","toilets, beds, and blankets are installed.",386
108,French,"On explique comment se laver les mains et comment boire de l'eau propre. Les enfants jouent un peu, mais les gens sont très fatigués. Les volontaires aident aussi à inscrire les",personnes sur des listes pour recevoir des aides.,470
109,English,"We explain how to wash hands and how to drink clean water. Children play a little, but people are very tired. Volunteers also help to",register people on lists to receive aid.,368
110,French,"Le travail continue jour et nuit, jusqu'à ce que la vie retrouve son rythme normal. Mais il y a des défis : le temps, la distance et les coûts rendent le travail difficile. Il faut aussi protéger","les personnes vulnérables, comme les personnes âgées et les malades.",679
111,English,"Work continues day and night, until life returns to its normal rhythm. But there are challenges: time, distance, and costs make the work difficult. We must also protect vulnerable","people, such as the elderly and the sick.",392
112,French,L'information est importante : on donne des conseils simples pour rester en sécurité et pour se protéger contre les maladies. La coopération internationale est utile : les pays voisins envoient des ressources et des équipes. J'espère que l'aide arrivera,sans retard et que les familles pourront reconstruire leur vie.,587
113,English,Information is important: simple advice is given to stay safe and to protect against diseases. International cooperation is useful: neighbouring countries send resources and teams. I hope that aid will arrive without,delay and that families can rebuild their lives.,449
114,French,"Le 13.10.2010, je lis des nouvelles sur les droits humains et les mouvements pour la justice sociale. Les droits humains disent que chaque personne mérite la liberté et l’égalité. Chaque pays peut vivre avec dignité: droit à l’éducation, à la santé, au travail, à la justice. Les gens veulent","parler librement, se réunir sans peur et prendre des décisions sur leur vie.",712
115,English,"On 13.10.2010, I read news about human rights and movements for social justice. Human rights say that every person deserves freedom and equality. Every country should live with dignity: the right to education, health, work, and justice. People want to speak freely,","to meet without fear, and to make decisions about their lives.",594
116,French,"Dans beaucoup de villes, des associations et des groupes pacifiques travaillent ensemble. Ils organisent des manifestations pacifiques, des réunions, et ils utilisent les réseaux sociaux pour partager des idées. Les familles s’informent sur les lois et les programmes qui aident les enfants, les femmes et les personnes handicapées. On parle aussi de la justice sociale: les richesses doivent être","partagées avec équité, et les personnes doivent recevoir un salaire juste et des services publics.",919
117,English,"In many cities, associations and peaceful groups work together. They organize peaceful demonstrations, meetings, and they use social media to share ideas. Families learn about laws and programs that help children, women, and people with disabilities. We also talk about social justice: wealth should be","shared fairly, and people should receive a fair wage and public services.",700
118,French,"Le travail des organisations non gouvernementales et des travailleurs sociaux est important: ils aident les moins favorisés, ils protègent les réfugiés, ils défendent les droits des minorités. Le droit international, comme la Déclaration universelle des droits de l’homme, guide les pays. Mais il y a encore des difficultés: la","peur, la discrimination et la violence font du mal à beaucoup de personnes.",729
119,English,"The work of non-governmental organizations and social workers is important: they help the less fortunate, protect refugees, defend the rights of minorities. International law, such as the Universal Declaration of Human Rights, guides countries. But there","are still difficulties: fear, discrimination, and violence hurt many people.",705
120,French,"C’est pourquoi des enfants, des jeunes et des adultes veulent un monde meilleur. Ils apprennent, ils parlent, et ils se mobilisent sans haine. En ce moment, on peut voir que les droits humains et",la justice sociale ne se réalisent pas tout seuls.,452
121,English,"That is why children, young people, and adults want a better world. They learn, they speak, and they mobilize without hatred. At the moment, we can see that human rights and",social justice do not come true by themselves.,451
122,French,"Il faut du courage, de la paix et de la coopération entre les pays. Quand les gens travaillent ensemble, on peut obtenir des changements: des lois plus justes, des écoles pour tous, et des soins pour tous. C’est une",période où l’espoir peut grandir si chacun fait sa part.,524
123,English,"It takes courage, peace, and cooperation between countries. When people work together, changes can happen: fairer laws, schools for all, and care for all. This is a time when",hope can grow if everyone does their part.,415
124,French,"Le 17 septembre 2021, je parle d'un sujet important: l'eau et sa gestion. Dans beaucoup de régions, l'eau manque. La pénurie d'eau est un problème pour les familles, pour les écoles et pour les fermes.",Les habitants doivent économiser l'eau et l'utiliser avec soin.,591
125,English,"On September 17, 2021, I am talking about an important topic: water and its management. In many regions, water is scarce. Water scarcity is a serious problem for families, for schools, and for",farms. People must save water and use it carefully.,496
126,French,"Pour gérer l'eau, on organise les ressources et les plans d'eau. Les villes construisent des stations pour traiter l'eau usée et la rendre propre.",On peut réutiliser l'eau après le traitement.,418
127,English,"To manage water, we organize the resources and water plans. The cities build stations to treat wastewater and to make it clean.",Water can be reused after treatment.,356
128,French,On apprend à économiser l'eau à la maison. Fermer le robinet quand on se brosse les dents est un petit geste qui aide. Prendre,des douches plus courtes économise beaucoup d'eau.,516
129,English,We learn to save water at home. Turning off the tap when we brush our teeth is a small gesture that helps. Taking shorter,showers also saves a lot of water.,329
130,French,Réparer les fuites dans les tuyaux est important. Les familles peuvent récupérer l'eau de pluie pour le jardin et pour les tâches ménagères. Les écoles et les,médias montrent des gestes simples pour économiser.,524
131,English,Repairing leaks in the pipes is important. Families can collect rainwater for the garden and for household chores. Schools and the,media show simple actions to save.,349
